mean_phred_score	n_sequences	sample	read_pair	stage
24	1492808	AP-DNA-1	2	raw_concat
25	2051192	AP-DNA-1	2	raw_concat
26	2758673	AP-DNA-1	2	raw_concat
27	3653346	AP-DNA-1	2	raw_concat
28	4784207	AP-DNA-1	2	raw_concat
29	6243369	AP-DNA-1	2	raw_concat
30	8075456	AP-DNA-1	2	raw_concat
31	10179169	AP-DNA-1	2	raw_concat
32	11922949	AP-DNA-1	2	raw_concat
33	11330738	AP-DNA-1	2	raw_concat
34	5776164	AP-DNA-1	2	raw_concat
35	444768	AP-DNA-1	2	raw_concat
15	1	AP-DNA-3	1	raw_concat
16	111	AP-DNA-3	1	raw_concat
17	1295	AP-DNA-3	1	raw_concat
18	8082	AP-DNA-3	1	raw_concat
19	26103	AP-DNA-3	1	raw_concat
20	57221	AP-DNA-3	1	raw_concat
21	102308	AP-DNA-3	1	raw_concat
22	165084	AP-DNA-3	1	raw_concat
23	256755	AP-DNA-3	1	raw_concat
24	400340	AP-DNA-3	1	raw_concat
25	620999	AP-DNA-3	1	raw_concat
26	930886	AP-DNA-3	1	raw_concat
27	1332329	AP-DNA-3	1	raw_concat
28	1835052	AP-DNA-3	1	raw_concat
29	2471886	AP-DNA-3	1	raw_concat
30	3321846	AP-DNA-3	1	raw_concat
31	4524583	AP-DNA-3	1	raw_concat
32	6277056	AP-DNA-3	1	raw_concat
33	8474891	AP-DNA-3	1	raw_concat
34	8930196	AP-DNA-3	1	raw_concat
35	2564214	AP-DNA-3	1	raw_concat
3	1	AP-DNA-3	2	raw_concat
4	48	AP-DNA-3	2	raw_concat
5	140	AP-DNA-3	2	raw_concat
6	218	AP-DNA-3	2	raw_concat
7	319	AP-DNA-3	2	raw_concat
8	384	AP-DNA-3	2	raw_concat
9	411	AP-DNA-3	2	raw_concat
10	458	AP-DNA-3	2	raw_concat
11	416	AP-DNA-3	2	raw_concat
12	396	AP-DNA-3	2	raw_concat
13	437	AP-DNA-3	2	raw_concat
14	5099	AP-DNA-3	2	raw_concat
15	29849	AP-DNA-3	2	raw_concat
16	45016	AP-DNA-3	2	raw_concat
17	52495	AP-DNA-3	2	raw_concat
18	67116	AP-DNA-3	2	raw_concat
19	98923	AP-DNA-3	2	raw_concat
20	158335	AP-DNA-3	2	raw_concat
21	252387	AP-DNA-3	2	raw_concat
22	382805	AP-DNA-3	2	raw_concat
23	560173	AP-DNA-3	2	raw_concat
24	789949	AP-DNA-3	2	raw_concat
25	1084239	AP-DNA-3	2	raw_concat
26	1464500	AP-DNA-3	2	raw_concat
27	1946834	AP-DNA-3	2	raw_concat
28	2575959	AP-DNA-3	2	raw_concat
29	3418222	AP-DNA-3	2	raw_concat
30	4537783	AP-DNA-3	2	raw_concat
31	5928148	AP-DNA-3	2	raw_concat
32	7258299	AP-DNA-3	2	raw_concat
33	7305914	AP-DNA-3	2	raw_concat
34	4012297	AP-DNA-3	2	raw_concat
35	323668	AP-DNA-3	2	raw_concat
16	14	AP-DNA-4	1	raw_concat
17	278	AP-DNA-4	1	raw_concat
18	1701	AP-DNA-4	1	raw_concat
19	6026	AP-DNA-4	1	raw_concat
20	14261	AP-DNA-4	1	raw_concat
21	27515	AP-DNA-4	1	raw_concat
22	47005	AP-DNA-4	1	raw_concat
23	77512	AP-DNA-4	1	raw_concat
24	125717	AP-DNA-4	1	raw_concat
25	199108	AP-DNA-4	1	raw_concat
26	304269	AP-DNA-4	1	raw_concat
27	443193	AP-DNA-4	1	raw_concat
28	617087	AP-DNA-4	1	raw_concat
29	836340	AP-DNA-4	1	raw_concat
30	1118360	AP-DNA-4	1	raw_concat
31	1490411	AP-DNA-4	1	raw_concat
32	1961706	AP-DNA-4	1	raw_concat
33	2398047	AP-DNA-4	1	raw_concat
34	2107260	AP-DNA-4	1	raw_concat
35	467196	AP-DNA-4	1	raw_concat
4	14	AP-DNA-4	2	raw_concat
5	44	AP-DNA-4	2	raw_concat
6	77	AP-DNA-4	2	raw_concat
7	93	AP-DNA-4	2	raw_concat
8	110	AP-DNA-4	2	raw_concat
9	116	AP-DNA-4	2	raw_concat
10	134	AP-DNA-4	2	raw_concat
11	140	AP-DNA-4	2	raw_concat
12	119	AP-DNA-4	2	raw_concat
13	119	AP-DNA-4	2	raw_concat
14	987	AP-DNA-4	2	raw_concat
15	5418	AP-DNA-4	2	raw_concat
16	9254	AP-DNA-4	2	raw_concat
